RB/1 rebuild companion listening on UDP 5009
Profile generation 0: replay IDR RTP NAL types [19, 32, 33, 34, 39]
[ffmpeg] [in#0/hevc @ 0000015497161f00] Stream #0: not enough frames to estimate rate; consider increasing probesize
SEQ=23 VPTS=163031 SPTS=163031 RPTS=162864 AGE=168 GEN=0 RGEN=12 REFREADY=1 USED=1 MODE=ROI-LANCZOS DROP=NONE DROP_REASON=NONE MATCH=0.97 DXR=0.00 DYR=0.00 AR=0.99 GEOM_DX_RATIO=0.00 GEOM_DY_RATIO=0.00 AREA_RATIO=0.99 SR=MISS SRSTATE=MISS SR_STATE=MISS SRLOOKUP=1/12:miss[-] SR_LOOKUP=1/12:miss[-] CACHE=1/12:miss[-]
SEQ=24 VPTS=163201 SPTS=163201 RPTS=163031 AGE=171 GEN=0 RGEN=13 REFREADY=1 USED=1 MODE=ROI-LANCZOS DROP=NONE DROP_REASON=NONE MATCH=0.47 DXR=0.08 DYR=0.02 AR=0.86 GEOM_DX_RATIO=0.08 GEOM_DY_RATIO=0.02 AREA_RATIO=0.86 SR=MISS SRSTATE=MISS SR_STATE=MISS SRLOOKUP=1/13:miss[-] SR_LOOKUP=1/13:miss[-] CACHE=1/13:miss[-]
SEQ=25 VPTS=163364 SPTS=163364 RPTS=163201 AGE=164 GEN=0 RGEN=14 REFREADY=1 USED=0 MODE=BASE-LANCZOS DROP=CONTENT DROP_REASON=CONTENT MATCH=none DXR=0.07 DYR=0.02 AR=1.14 GEOM_DX_RATIO=0.07 GEOM_DY_RATIO=0.02 AREA_RATIO=1.14 SR=MISS SRSTATE=HIT SR_STATE=HIT SRLOOKUP=1/14:hit[1/13,1/14] SR_LOOKUP=1/14:hit[1/13,1/14] CACHE=1/14:hit[1/13,1/14]
SEQ=26 VPTS=163535 SPTS=163364 RPTS=none AGE=none GEN=0 RGEN=none REFREADY=0 USED=0 MODE=BASE-LANCZOS DROP=STATE DROP_REASON=STATE MATCH=none DXR=0.00 DYR=0.00 AR=0.00 GEOM_DX_RATIO=0.00 GEOM_DY_RATIO=0.00 AREA_RATIO=0.00 SR=MISS SRSTATE=MISS SR_STATE=MISS SRLOOKUP=1/14:hit[1/13,1/14] SR_LOOKUP=1/14:hit[1/13,1/14] CACHE=1/14:hit[1/13,1/14]
SEQ=27 VPTS=163698 SPTS=163698 RPTS=163364 AGE=335 GEN=0 RGEN=15 REFREADY=1 USED=1 MODE=ROI-ESRGAN DROP=NONE DROP_REASON=NONE MATCH=0.96 DXR=0.01 DYR=0.01 AR=0.99 GEOM_DX_RATIO=0.01 GEOM_DY_RATIO=0.01 AREA_RATIO=0.99 SR=HIT SRSTATE=HIT SR_STATE=HIT SRLOOKUP=1/15:hit[1/13,1/14,1/15] SR_LOOKUP=1/15:hit[1/13,1/14,1/15] CACHE=1/15:hit[1/13,1/14,1/15]
SEQ=28 VPTS=163865 SPTS=163865 RPTS=163865 AGE=0 GEN=0 RGEN=16 REFREADY=1 USED=1 MODE=ROI-ESRGAN DROP=NONE DROP_REASON=NONE MATCH=0.97 DXR=0.00 DYR=0.00 AR=1.00 GEOM_DX_RATIO=0.00 GEOM_DY_RATIO=0.00 AREA_RATIO=1.00 SR=HIT SRSTATE=HIT SR_STATE=HIT SRLOOKUP=1/16:hit[1/13,1/14,1/15,1/16] SR_LOOKUP=1/16:hit[1/13,1/14,1/15,1/16] CACHE=1/16:hit[1/13,1/14,1/15,1/16]
SEQ=29 VPTS=164031 SPTS=164031 RPTS=none AGE=none GEN=0 RGEN=none REFREADY=0 USED=0 MODE=BASE-LANCZOS DROP=NONE DROP_REASON=NONE MATCH=none DXR=0.00 DYR=0.00 AR=0.00 GEOM_DX_RATIO=0.00 GEOM_DY_RATIO=0.00 AREA_RATIO=0.00 SR=MISS SRSTATE=MISS SR_STATE=MISS SRLOOKUP=1/16:hit[1/13,1/14,1/15,1/16] SR_LOOKUP=1/16:hit[1/13,1/14,1/15,1/16] CACHE=1/16:hit[1/13,1/14,1/15,1/16]
SEQ=30 VPTS=164199 SPTS=164199 RPTS=163865 AGE=334 GEN=0 RGEN=16 REFREADY=1 USED=0 MODE=BASE-LANCZOS DROP=CONTENT DROP_REASON=CONTENT MATCH=none DXR=0.05 DYR=0.03 AR=1.03 GEOM_DX_RATIO=0.05 GEOM_DY_RATIO=0.03 AREA_RATIO=1.03 SR=MISS SRSTATE=MISS SR_STATE=MISS SRLOOKUP=1/16:hit[1/13,1/14,1/15,1/16] SR_LOOKUP=1/16:hit[1/13,1/14,1/15,1/16] CACHE=1/16:hit[1/13,1/14,1/15,1/16]
SEQ=31 VPTS=164369 SPTS=164369 RPTS=164199 AGE=170 GEN=0 RGEN=17 REFREADY=1 USED=1 MODE=ROI-ESRGAN DROP=NONE DROP_REASON=NONE MATCH=0.37 DXR=0.09 DYR=0.04 AR=0.86 GEOM_DX_RATIO=0.09 GEOM_DY_RATIO=0.04 AREA_RATIO=0.86 SR=HIT SRSTATE=HIT SR_STATE=HIT SRLOOKUP=1/17:hit[1/14,1/15,1/13,1/16,1/17] SR_LOOKUP=1/17:hit[1/14,1/15,1/13,1/16,1/17] CACHE=1/17:hit[1/14,1/15,1/13,1/16,1/17]
SEQ=32 VPTS=164532 SPTS=164532 RPTS=none AGE=none GEN=0 RGEN=none REFREADY=0 USED=0 MODE=BASE-LANCZOS DROP=NOREF DROP_REASON=NOREF MATCH=none DXR=0.00 DYR=0.00 AR=0.00 GEOM_DX_RATIO=0.00 GEOM_DY_RATIO=0.00 AREA_RATIO=0.00 SR=MISS SRSTATE=MISS SR_STATE=MISS SRLOOKUP=1/17:hit[1/14,1/15,1/13,1/16,1/17] SR_LOOKUP=1/17:hit[1/14,1/15,1/13,1/16,1/17] CACHE=1/17:hit[1/14,1/15,1/13,1/16,1/17]
SEQ=33 VPTS=164699 SPTS=164699 RPTS=164369 AGE=331 GEN=0 RGEN=18 REFREADY=1 USED=0 MODE=BASE-LANCZOS DROP=CONTENT DROP_REASON=CONTENT MATCH=0.22 DXR=0.10 DYR=0.02 AR=0.81 GEOM_DX_RATIO=0.10 GEOM_DY_RATIO=0.02 AREA_RATIO=0.81 SR=MISS SRSTATE=MISS SR_STATE=MISS SRLOOKUP=1/18:miss[1/14,1/15,1/13,1/16,1/17] SR_LOOKUP=1/18:miss[1/14,1/15,1/13,1/16,1/17] CACHE=1/18:miss[1/14,1/15,1/13,1/16,1/17]
SEQ=34 VPTS=164869 SPTS=164869 RPTS=164699 AGE=171 GEN=0 RGEN=19 REFREADY=1 USED=1 MODE=ROI-ESRGAN DROP=NONE DROP_REASON=NONE MATCH=0.74 DXR=0.02 DYR=0.01 AR=1.03 GEOM_DX_RATIO=0.02 GEOM_DY_RATIO=0.01 AREA_RATIO=1.03 SR=HIT SRSTATE=HIT SR_STATE=HIT SRLOOKUP=1/19:hit[1/14,1/15,1/13,1/19,1/16,1/17] SR_LOOKUP=1/19:hit[1/14,1/15,1/13,1/19,1/16,1/17] CACHE=1/19:hit[1/14,1/15,1/13,1/19,1/16,1/17]
SEQ=35 VPTS=165032 SPTS=165032 RPTS=164869 AGE=163 GEN=0 RGEN=20 REFREADY=1 USED=1 MODE=ROI-ESRGAN DROP=NONE DROP_REASON=NONE MATCH=0.85 DXR=0.00 DYR=0.00 AR=1.00 GEOM_DX_RATIO=0.00 GEOM_DY_RATIO=0.00 AREA_RATIO=1.00 SR=HIT SRSTATE=HIT SR_STATE=HIT SRLOOKUP=1/20:hit[1/14,1/20,1/15,1/13,1/19,1/16,1/17] SR_LOOKUP=1/20:hit[1/14,1/20,1/15,1/13,1/19,1/16,1/17] CACHE=1/20:hit[1/14,1/20,1/15,1/13,1/19,1/16,1/17]
SEQ=36 VPTS=165198 SPTS=165198 RPTS=165032 AGE=167 GEN=0 RGEN=21 REFREADY=1 USED=1 MODE=ROI-ESRGAN DROP=NONE DROP_REASON=NONE MATCH=0.92 DXR=0.00 DYR=0.00 AR=0.99 GEOM_DX_RATIO=0.00 GEOM_DY_RATIO=0.00 AREA_RATIO=0.99 SR=HIT SRSTATE=HIT SR_STATE=HIT SRLOOKUP=1/21:hit[1/14,1/20,1/13,1/19,1/16,1/15,1/21,1/17] SR_LOOKUP=1/21:hit[1/14,1/20,1/13,1/19,1/16,1/15,1/21,1/17] CACHE=1/21:hit[1/14,1/20,1/13,1/19,1/16,1/15,1/21,1/17]
